"date","month_year","site_name","site_num","lat","lon","red_green","green_red"
2019-02-05,Feb 2019,"Orote Point",196,13.4500167,144.6246833,0.722304283604136,1.38445807770961
2019-02-05,Feb 2019,"Orote Point",184,13.4497667,144.6245833,0.73546511627907,1.3596837944664
2019-02-05,Feb 2019,"Orote Point",185,13.4497833,144.62465,0.73546511627907,1.3596837944664
2019-02-05,Feb 2019,"Orote Point",191,13.44993,144.62448,0.732064421669107,1.366
2019-02-05,Feb 2019,"Orote Point",195,13.4499667,144.6239666,0.716152019002375,1.39635157545605
2019-02-05,Feb 2019,"Orote Point",192,13.44995,144.6243833,0.742165242165242,1.34740882917466
2019-02-05,Feb 2019,"Orote Point",143,13.4492167,144.6278666,0.750373692077728,1.33266932270916
2019-02-05,Feb 2019,"Orote Point",152,13.4492833,144.6278167,0.726207906295754,1.37701612903226
2019-02-05,Feb 2019,"Inner Harbor",38,13.4315333,144.6743333,0.594948550046773,1.68081761006289
2019-02-05,Feb 2019,"Inner Harbor",213,13.431333,144.6745833,0.585027726432532,1.70932069510269
2019-02-05,Feb 2019,"Orote Point",146,13.44925,144.6257,0.734328358208955,1.36178861788618
2019-02-05,Feb 2019,"Orote Point",150,13.4492667,144.62575,0.734328358208955,1.36178861788618
2019-02-05,Feb 2019,"Orote Point",137,13.44915,144.6268,0.741935483870968,1.34782608695652
2019-02-05,Feb 2019,"Orote Point",116,13.4488333,144.6263833,0.715328467153285,1.39795918367347
2019-02-05,Feb 2019,"Orote Point",106,13.4484167,144.6269333,0.736151603498542,1.35841584158416
2019-02-05,Feb 2019,"Sasa Bay",100,13.44725,144.6715,0.748101265822785,1.33671742808799
2019-02-05,Feb 2019,"Inner Harbor",32,13.4313667,144.6734167,0.574487065120428,1.74068322981366
2019-02-05,Feb 2019,"Inner Harbor",27,13.4308,144.674,0.611859838274933,1.63436123348018
2019-02-05,Feb 2019,"Sasa Bay",129,13.4490667,144.6666667,1.03387096774194,0.967238689547582
2019-02-05,Feb 2019,"Orote Point",110,13.4486667,144.6263667,0.709401709401709,1.40963855421687
2019-02-05,Feb 2019,"Orote Point",205,13.4503167,144.6232833,0.768831168831169,1.30067567567568
2019-02-05,Feb 2019,"Inner Harbor",212,13.4308,144.6739166,0.59265890778872,1.68731117824773
2019-02-05,Feb 2019,"Inner Harbor",39,13.4315667,144.67455,0.581632653061224,1.71929824561404
2019-02-05,Feb 2019,"Inner Harbor",33,13.4313833,144.6743167,0.593396226415094,1.6852146263911
2019-02-05,Feb 2019,"Orote Point",159,13.44935,144.6254333,0.720351390922401,1.38821138211382
2019-02-05,Feb 2019,"Orote Point",172,13.44955,144.6255833,0.729446935724963,1.37090163934426
2019-02-05,Feb 2019,"Orote Point",115,13.4488167,144.6260167,0.727665706051873,1.37425742574257
2019-02-05,Feb 2019,"Inner Harbor",25,13.4301667,144.6738167,0.614,1.62866449511401
2019-02-05,Feb 2019,"Sasa Bay",223,13.4472333,144.6713333,0.753585397653194,1.32698961937716
2019-02-05,Feb 2019,"Middle Shoals",122,13.4489,144.6563167,0.980377906976744,1.02001482579689
2019-02-05,Feb 2019,"Middle Shoals",123,13.4489,144.6563167,0.980377906976744,1.02001482579689
2019-02-05,Feb 2019,"Orote Point",127,13.4490333,144.6259167,0.728592162554427,1.37250996015936
2019-02-05,Feb 2019,"Orote Point",124,13.4489667,144.6263666,0.745127436281859,1.3420523138833
2019-02-05,Feb 2019,"Orote Point",130,13.4490667,144.6261333,0.738345864661654,1.35437881873727
2019-02-05,Feb 2019,"Orote Point",109,13.4485833,144.62645,0.738552437223043,1.354
2019-02-05,Feb 2019,"Inner Harbor",214,13.4314667,144.6742667,0.59204440333025,1.6890625
2019-02-05,Feb 2019,"Orote Point",165,13.4494667,144.6252,0.722139673105498,1.38477366255144
2019-02-05,Feb 2019,"Orote Point",153,13.4492833,144.6254667,0.720351390922401,1.38821138211382
2019-02-05,Feb 2019,"Orote Point",144,13.4492167,144.6266333,0.732540861812779,1.36511156186613
2019-02-05,Feb 2019,"Orote Point",105,13.4483667,144.627,0.740902474526929,1.34970530451866
2019-02-05,Feb 2019,"Orote Point",206,13.450433,144.6248833,0.734724292101341,1.36105476673428
2019-02-05,Feb 2019,"Orote Point",199,13.4501333,144.6237333,0.736720554272517,1.35736677115987
2019-02-05,Feb 2019,"Inner Harbor",30,13.43135,144.6735,0.578324225865209,1.72913385826772
2019-02-05,Feb 2019,"Inner Harbor",36,13.4314833,144.6736166,0.595412844036697,1.67950693374422
2019-02-05,Feb 2019,"Inner Harbor",37,13.4315167,144.6742333,0.6,1.66666666666667
2019-02-05,Feb 2019,"Inner Harbor",215,13.4315167,144.6742333,0.6,1.66666666666667
2019-02-05,Feb 2019,"Inner Harbor",34,13.4314,144.6744,0.583723105706268,1.71314102564103
2019-02-05,Feb 2019,"Inner Harbor",23,13.42965,144.6707,0.853247794707298,1.17199248120301
2019-02-05,Feb 2019,"Orote Point",136,13.44915,144.6257166,0.736151603498542,1.35841584158416
2019-02-05,Feb 2019,"Orote Point",164,13.44945,144.6262833,0.729323308270677,1.37113402061856
