site_name,lat,lon,site_num
middle_shoals,13.4494167,144.6569833,163
orote_point,13.44945,144.6262833,164
orote_point,13.4494667,144.6252,165
orote_point,13.4494833,144.62535,166
middle_shoals,13.4495,144.657133,167
middle_shoals,13.4495,144.6569833,168
middle_shoals,13.4495167,144.6571,169
middle_shoals,13.4495167,144.657166,170
middle_shoals,13.44955,144.657067,171
orote_point,13.44955,144.6255833,172
middle_shoals,13.4495833,144.6568833,173
sasa_bay,13.4496,144.67395,174
sasa_bay,13.4496167,144.6737,175
middle_shoals,13.44965,144.6571667,176
middle_shoals,13.4496833,144.6569666,177
middle_shoals,13.4496833,144.6571667,178
middle_shoals,13.4497,144.6570833,179
middle_shoals,13.4497,144.6571666,180
sasa_bay,13.4497,144.67385,181
orote_point,13.4497333,144.6251666,182
middle_shoals,13.44975,144.6571,183
orote_point,13.4497667,144.6245833,184
orote_point,13.4497833,144.62465,185
middle_shoals,13.4497833,144.65695,186
orote_point,13.4498,144.6246833,187
sasa_bay,13.4498167,144.6739833,188
sasa_bay,13.4499,144.6742167,189
sasa_bay,13.4499167,144.6742,190
orote_point,13.44993,144.62448,191
orote_point,13.44995,144.6243833,192
middle_shoals,13.44995,144.6565333,193
middle_shoals,13.44995,144.6562,194
orote_point,13.4499667,144.6239666,195
orote_point,13.4500167,144.6246833,196
sasa_bay,13.4500167,144.6740333,197
middle_shoals,13.4500667,144.6559666,198
orote_point,13.4501333,144.6237333,199
sasa_bay,13.45015,144.6735833,200
sasa_bay,13.4501667,144.6743167,201
sasa_bay,13.4502167,144.6739333,202
sasa_bay,13.4502833,144.6742333,203
sasa_bay,13.4503,144.6743666,204
orote_point,13.4503167,144.6232833,205
orote_point,13.450433,144.6248833,206
orote_point,13.4504667,144.62335,207
middle_shoals,13.4504833,144.6570666,208
inner_harbour,13.42082,144.66745,209
inner_harbour,13.4244833,144.6690166,210
inner_harbour,13.4307,144.6716166,211
inner_harbour,13.4308,144.6739166,212
inner_harbour,13.431333,144.6745833,213
inner_harbour,13.4314667,144.6742667,214
inner_harbour,13.4315167,144.6742333,215
inner_harbour,13.4315333,144.6744167,216
inner_harbour,13.43185,144.674333,217
inner_harbour,13.4322333,144.6728167,218
inner_harbour,13.4324167,144.6738666,219
inner_harbour,13.4325833,144.6743167,220
inner_harbour,13.4328167,144.6734833,221
sasa_bay,13.44645,144.6747666,222
sasa_bay,13.4472333,144.6713333,223
sasa_bay,13.4486167,144.6743333,224
sasa_bay,13.4491667,144.6738167,225
sasa_bay,13.4492,144.6739333,226
sasa_bay,13.4492333,144.6741,227
sasa_bay,13.4495667,144.6741167,228
sasa_bay,13.4495833,144.67405,229
sasa_bay,13.4498833,144.6742,230
sasa_bay,13.4502,144.67425,231
