"plate","well_position","sample","sample_old","field_collection_month","site","filter_half","target","Cq","quantity","positive","dCq"
"P20190530_HH_FebMarch2019FC","B16","201903_BH_8a","20190311_BH_8a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B17","201903_BH_9a","20190311_BH_9a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B18","201903_BH_9a","20190311_BH_9a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B19","201903_BH_10a","20190311_BH_10a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B20","201903_BH_10a","20190311_BH_10a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B21","201903_BH_ECa","20190311_BH_ECa",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B22","201903_BH_ECa","20190311_BH_ECa",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B23","201903_BH_EBa","20190311_BH_EBa",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","B24","201903_BH_EBa","20190311_BH_EBa",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C1","201903_BH_1a","20190311_BH_1a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C2","201903_BH_1a","20190311_BH_1a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C3","201903_BH_2a","20190311_BH_2a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C4","201903_BH_2a","20190311_BH_2a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C5","201903_BH_3a","20190311_BH_3a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C6","201903_BH_3a","20190311_BH_3a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C7","201903_BH_4a","20190311_BH_4a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C8","201903_BH_4a","20190311_BH_4a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C9","201903_BH_5a","20190311_BH_5a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C10","201903_BH_5a","20190311_BH_5a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C11","201903_BH_6a","20190311_BH_6a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C12","201903_BH_6a","20190311_BH_6a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C13","201903_BH_7a","20190311_BH_7a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C14","201903_BH_7a","20190311_BH_7a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C15","201903_BH_8a","20190311_BH_8a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C16","201903_BH_8a","20190311_BH_8a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C17","201903_BH_9a","20190311_BH_9a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C18","201903_BH_9a","20190311_BH_9a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C19","201903_BH_10a","20190311_BH_10a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C20","201903_BH_10a","20190311_BH_10a",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C21","201903_BH_ECa","20190311_BH_ECa",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C22","201903_BH_ECa","20190311_BH_ECa",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C23","201903_BH_EBa","20190311_BH_EBa",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","C24","201903_BH_EBa","20190311_BH_EBa",Mar 2019,"Blue Hole","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D1","201903_IH_1a","20190307_IH_1a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D2","201903_IH_1a","20190307_IH_1a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
"P20190530_HH_FebMarch2019FC","D3","201903_IH_2a","20190307_IH_2a",Mar 2019,"Inner Harbor","a","Slew12S_FR3",NA,NA,0,NA
