"site_name","date","sample_id","sample_no","sample_less","sample","concentration","date_extracted","field_collection_month","filtration_time","latitude","longitude","depth_ft","water_temp_f","flow","tide","collected_by"
"Middle Shoals",2019-12-04,"MS 10 9","9","MS_9a","201912_MS_9a",7.45,"20/3/20",Dec 2019,4,13.44975,144.6571,57,83,"Moderate","Low","MM, MD, JP"
"Middle Shoals",2019-12-04,"MS 10 10","10","MS_10a","201912_MS_10a",6.78,"20/3/20",Dec 2019,5,NA,NA,NA,NA,"Moderate","Low","MM, MD, JP"
"Inner Harbor",2019-12-03,"IH NA EB","EB","IH_EBa","201912_IH_EBa",0.04,"20/3/20",Dec 2019,NA,NA,NA,NA,NA,"","",""
"Inner Harbor",2019-12-03,"IH 10 EC","EC","IH_ECa","201912_IH_ECa",0.05,"20/3/20",Dec 2019,1,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2019-12-03,"IH 10 1","1","IH_1a","201912_IH_1a",0.05,"20/3/20",Dec 2019,4,13.431333,144.6745833,27,83.8,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2019-12-03,"IH 10 2","2","IH_2a","201912_IH_2a",23.32,"20/3/20",Dec 2019,4,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2019-12-03,"IH 10 3","3","IH_3a","201912_IH_3a",18.21,"20/3/20",Dec 2019,6,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2019-12-03,"IH 10 4","4","IH_4a","201912_IH_4a",17.56,"20/3/20",Dec 2019,4,13.4315667,144.67455,28,83.4,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2019-12-03,"IH 10 5","5","IH_5a","201912_IH_5a",9.34,"20/3/20",Dec 2019,5,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2019-12-03,"IH 10 6","6","IH_6a","201912_IH_6a",18.83,"20/3/20",Dec 2019,3,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2019-12-03,"IH 10 7","7","IH_7a","201912_IH_7a",14.43,"20/3/20",Dec 2019,5,13.4313667,144.6734167,31,83,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2019-12-03,"IH 10 8","8","IH_8a","201912_IH_8a",30.79,"20/3/20",Dec 2019,9,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2019-12-03,"IH 10 9","9","IH_9a","201912_IH_9a",13.8,"20/3/20",Dec 2019,5,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2019-12-03,"IH 10 10","10","IH_10a","201912_IH_10a",9.93,"20/3/20",Dec 2019,4,13.43135,144.6735,31,83,"Stagnant","High","MM, MD, JP"
"Blue Hole",2019-12-04,"BH NA EB","EB","BH_EBa","201912_BH_EBa",0.02,"20/3/20",Dec 2019,NA,NA,NA,NA,NA,"","",""
"Blue Hole",2019-12-04,"BH 10 EC","EC","BH_ECa","201912_BH_ECa",0.05,"20/3/20",Dec 2019,1,NA,NA,NA,NA,"Moderate","Low","MM, MD, JP"
"Blue Hole",2019-12-04,"BH 10 1","1","BH_1a","201912_BH_1a",1.94,"20/3/20",Dec 2019,4,13.4359167,144.6271333,228,83.1,"Moderate","Low","MM, MD, JP"
"Blue Hole",2019-12-04,"BH 10 2","2","BH_2a","201912_BH_2a",0.94,"20/3/20",Dec 2019,4,NA,NA,NA,NA,"Moderate","Low","MM, MD, JP"
"Blue Hole",2019-12-04,"BH 10 3","3","BH_3a","201912_BH_3a",1.03,"20/3/20",Dec 2019,5,13.435917,144.6210833,93.9,83.1,"Moderate","Low","MM, MD, JP"
"Blue Hole",2019-12-04,"BH 10 4","4","BH_4a","201912_BH_4a",1.17,"20/3/20",Dec 2019,4,NA,NA,NA,NA,"Moderate","Low","MM, MD, JP"
"Blue Hole",2019-12-04,"BH 10 5","5","BH_5a","201912_BH_5a",0.94,"20/3/20",Dec 2019,4,NA,NA,NA,NA,"Moderate","Low","MM, MD, JP"
"Blue Hole",2019-12-04,"BH 10 6","6","BH_6a","201912_BH_6a",1.65,"20/3/20",Dec 2019,4,13.4360167,144.627,90,83,"Moderate","Low","MM, MD, JP"
"Blue Hole",2019-12-04,"BH 10 7","7","BH_7a","201912_BH_7a",1.07,"20/3/20",Dec 2019,7,NA,NA,NA,NA,"Moderate","Low","MM, MD, JP"
"Blue Hole",2019-12-04,"BH 10 8","8","BH_8a","201912_BH_8a",1.78,"20/3/20",Dec 2019,4,NA,NA,NA,NA,"Moderate","Low","MM, MD, JP"
"Blue Hole",2019-12-04,"BH 10 9","9","BH_9a","201912_BH_9a",1.19,"20/3/20",Dec 2019,3,13.4361833,144.6271,74,83,"Moderate","Low","MM, MD, JP"
"Blue Hole",2019-12-04,"BH 10 10","10","BH_10a","201912_BH_10a",1.82,"20/3/20",Dec 2019,3,NA,NA,NA,NA,"Moderate","Low","MM, MD, JP"
"Orote Point",2019-12-04,"OP NA EB","EB","OP_EBa","201912_OP_EBa",0.03,"20/3/20",Dec 2019,NA,NA,NA,NA,NA,"","",""
"Orote Point",2019-12-04,"OP 10 EC","EC","OP_ECa","201912_OP_ECa",0.04,"20/3/20",Dec 2019,1,NA,NA,NA,NA,"Moderate","Low","MM, MD, JP"
"Orote Point",2019-12-04,"OP 10 1","1","OP_1a","201912_OP_1a",1.08,"20/3/20",Dec 2019,4,13.4492,144.62585,116,83,"Moderate","Low","MM, MD, JP"
"Orote Point",2019-12-04,"OP 10 2","2","OP_2a","201912_OP_2a",1.31,"20/3/20",Dec 2019,4,NA,NA,NA,NA,"Moderate","Low","MM, MD, JP"
"Orote Point",2019-12-04,"OP 10 3","3","OP_3a","201912_OP_3a",1.14,"20/3/20",Dec 2019,11,13.4492667,144.62575,115,83,"Moderate","Low","MM, MD, JP"
"Orote Point",2019-12-04,"OP 10 4","4","OP_4a","201912_OP_4a",2.96,"20/3/20",Dec 2019,8,NA,NA,NA,NA,"Moderate","Low","MM, MD, JP"
"Orote Point",2019-12-04,"OP 10 5","5","OP_5a","201912_OP_5a",2.66,"20/3/20",Dec 2019,4,NA,NA,NA,NA,"Moderate","Low","MM, MD, JP"
"Orote Point",2019-12-04,"OP 10 6","6","OP_6a","201912_OP_6a",3.02,"20/3/20",Dec 2019,4,13.44955,144.6255833,111,83,"Moderate","Low","MM, MD, JP"
"Orote Point",2019-12-04,"OP 10 7","7","OP_7a","201912_OP_7a",1.93,"20/3/20",Dec 2019,8,NA,NA,NA,NA,"Moderate","Low","MM, MD, JP"
"Orote Point",2019-12-04,"OP 10 8","8","OP_8a","201912_OP_8a",1.08,"20/3/20",Dec 2019,5,NA,NA,NA,NA,"Moderate","Low","MM, MD, JP"
"Orote Point",2019-12-04,"OP 10 9","9","OP_9a","201912_OP_9a",2.63,"20/3/20",Dec 2019,4,13.4497333,144.6251666,109,83,"Moderate","Low","MM, MD, JP"
"Orote Point",2019-12-04,"OP 10 10","10","OP_10a","201912_OP_10a",1.92,"20/3/20",Dec 2019,6,NA,NA,NA,NA,"Moderate","Low","MM, MD, JP"
"Sasa Bay",2020-01-29,"SB NA EB","EB","SB_EBa","202001_SB_EBa",0.03,"25/3/20",Jan 2020,NA,NA,NA,NA,NA,"","",""
"Sasa Bay",2020-01-29,"SB 10 EC","EC","SB_ECa","202001_SB_ECa",0.01,"25/3/20",Jan 2020,1,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-01-29,"SB 10 1","1","SB_1a","202001_SB_1a",2.24,"25/3/20",Jan 2020,4,13.4491667,144.6738167,38,80.64,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-01-29,"SB 10 2","2","SB_2a","202001_SB_2a",3.3,"25/3/20",Jan 2020,5,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-01-29,"SB 10 3","3","SB_3a","202001_SB_3a",9.23,"25/3/20",Jan 2020,16,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-01-29,"SB 10 4","4","SB_4a","202001_SB_4a",5.52,"25/3/20",Jan 2020,3,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-01-29,"SB 10 5","5","SB_5a","202001_SB_5a",4.23,"25/3/20",Jan 2020,4,13.4496167,144.6737,39,80.6,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-01-29,"SB 10 6","6","SB_6a","202001_SB_6a",3.57,"25/3/20",Jan 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-01-29,"SB 10 7","7","SB_7a","202001_SB_7a",5.44,"25/3/20",Jan 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-01-29,"SB 10 8","8","SB_8a","202001_SB_8a",4.48,"25/3/20",Jan 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-01-29,"SB 10 9","9","SB_9a","202001_SB_9a",6.57,"25/3/20",Jan 2020,4,13.45015,144.6735833,38,80.5,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-01-29,"SB 10 10","10","SB_10a","202001_SB_10a",5.32,"25/3/20",Jan 2020,6,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-01-29,"MS NA EB","EB","MS_EBa","202001_MS_EBa",NA,"25/3/20",Jan 2020,NA,NA,NA,NA,NA,"","",""
"Middle Shoals",2020-01-29,"MS 10 EC","EC","MS_ECa","202001_MS_ECa",0.02,"25/3/20",Jan 2020,0,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-01-29,"MS 10 1","1","MS_1a","202001_MS_1a",3.19,"25/3/20",Jan 2020,4,13.4492833,144.65705,NA,80.5,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-01-29,"MS 10 2","2","MS_2a","202001_MS_2a",2.62,"25/3/20",Jan 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-01-29,"MS 10 3","3","MS_3a","202001_MS_3a",4.94,"25/3/20",Jan 2020,18,13.4493167,144.6568666,NA,80.5,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-01-29,"MS 10 4","4","MS_4a","202001_MS_4a",9.29,"25/3/20",Jan 2020,8,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-01-29,"MS 10 5","5","MS_5a","202001_MS_5a",5.59,"25/3/20",Jan 2020,5,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-01-29,"MS 10 6","6","MS_6a","202001_MS_6a",4.38,"25/3/20",Jan 2020,5,13.4494167,144.6569833,NA,80.7,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-01-29,"MS 10 7","7","MS_7a","202001_MS_7a",5.82,"25/3/20",Jan 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-01-29,"MS 10 8","8","MS_8a","202001_MS_8a",2.42,"25/3/20",Jan 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-01-29,"MS 10 9","9","MS_9a","202001_MS_9a",4.08,"25/3/20",Jan 2020,5,13.4493,144.6569333,NA,80.7,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-01-29,"MS 10 10","10","MS_10a","202001_MS_10a",3.51,"25/3/20",Jan 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Inner Harbor",2020-01-17,"IH NA EB","EB","IH_EBa","202001_IH_EBa",0.01,"25/3/20",Jan 2020,NA,NA,NA,NA,NA,"","",""
"Inner Harbor",2020-01-17,"IH 10 EC","EC","IH_ECa","202001_IH_ECa",0.04,"25/3/20",Jan 2020,1,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-01-17,"IH 10 1","1","IH_1a","202001_IH_1a",1.04,"25/3/20",Jan 2020,4,13.4328167,144.6734833,33,80.5,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-01-17,"IH 10 2","2","IH_2a","202001_IH_2a",7.66,"25/3/20",Jan 2020,4,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-01-17,"IH 10 3","3","IH_3a","202001_IH_3a",9.96,"25/3/20",Jan 2020,11,13.43255,144.6735333,32,80.5,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-01-17,"IH 10 4","4","IH_4a","202001_IH_4a",9.79,"25/3/20",Jan 2020,5,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-01-17,"IH 10 5","5","IH_5a","202001_IH_5a",7.57,"25/3/20",Jan 2020,4,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-01-17,"IH 10 6","6","IH_6a","202001_IH_6a",7.8,"25/3/20",Jan 2020,4,13.4321833,144.67325,32,80.5,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-01-17,"IH 10 7","7","IH_7a","202001_IH_7a",11.1,"25/3/20",Jan 2020,4,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-01-17,"IH 10 8","8","IH_8a","202001_IH_8a",6.22,"25/3/20",Jan 2020,4,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-01-17,"IH 10 9","9","IH_9a","202001_IH_9a",16.91,"25/3/20",Jan 2020,5,13.4320833,144.673,33,80.5,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-01-17,"IH 10 10","10","IH_10a","202001_IH_10a",8.2,"25/3/20",Jan 2020,8,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Blue Hole",2020-01-29,"BH NA EB","EB","BH_EBa","202001_BH_EBa",NA,"25/3/20",Jan 2020,NA,NA,NA,NA,NA,"","",""
"Blue Hole",2020-01-29,"BH 10 EC","EC","BH_ECa","202001_BH_ECa",0.09,"25/3/20",Jan 2020,0,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Blue Hole",2020-01-29,"BH 10 1","1","BH_1a","202001_BH_1a",1.45,"25/3/20",Jan 2020,4,13.4353,144.626666,426,80.6,"Slow","High","MM, MD, JP"
"Blue Hole",2020-01-29,"BH 10 2","2","BH_2a","202001_BH_2a",1.35,"25/3/20",Jan 2020,3,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Blue Hole",2020-01-29,"BH 10 3","3","BH_3a","202001_BH_3a",3.61,"25/3/20",Jan 2020,8,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Blue Hole",2020-01-29,"BH 10 4","4","BH_4a","202001_BH_4a",3.33,"25/3/20",Jan 2020,6,13.4353167,144.6265167,434,80.6,"Slow","High","MM, MD, JP"
"Blue Hole",2020-01-29,"BH 10 5","5","BH_5a","202001_BH_5a",0.92,"25/3/20",Jan 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Blue Hole",2020-01-29,"BH 10 6","6","BH_6a","202001_BH_6a",1.19,"25/3/20",Jan 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Blue Hole",2020-01-29,"BH 10 7","7","BH_7a","202001_BH_7a",1.89,"25/3/20",Jan 2020,8,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Blue Hole",2020-01-29,"BH 10 8","8","BH_8a","202001_BH_8a",0.89,"25/3/20",Jan 2020,4,13.43575,144.6254833,414.2,80.7,"Slow","High","MM, MD, JP"
"Blue Hole",2020-01-29,"BH 10 9","9","BH_9a","202001_BH_9a",0.86,"25/3/20",Jan 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Blue Hole",2020-01-29,"BH 10 10","10","BH_10a","202001_BH_10a",0.69,"25/3/20",Jan 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Orote Point",2020-01-29,"OP NA EB","EB","OP_EBa","202001_OP_EBa",0.01,"25/3/20",Jan 2020,NA,NA,NA,NA,NA,"","",""
"Orote Point",2020-01-29,"OP 10 EC","EC","OP_ECa","202001_OP_ECa",0.05,"25/3/20",Jan 2020,1,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Orote Point",2020-01-29,"OP 10 1","1","OP_1a","202001_OP_1a",0.77,"25/3/20",Jan 2020,4,13.44935,144.6256833,95,80.8,"Slow","High","MM, MD, JP"
"Orote Point",2020-01-29,"OP 10 2","2","OP_2a","202001_OP_2a",1.38,"25/3/20",Jan 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Orote Point",2020-01-29,"OP 10 3","3","OP_3a","202001_OP_3a",1.6,"25/3/20",Jan 2020,5,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Orote Point",2020-01-29,"OP 10 4","4","OP_4a","202001_OP_4a",0.76,"25/3/20",Jan 2020,5,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Orote Point",2020-01-29,"OP 10 5","5","OP_5a","202001_OP_5a",1.39,"25/3/20",Jan 2020,4,13.4498,144.6246833,86,80.8,"Slow","High","MM, MD, JP"
"Orote Point",2020-01-29,"OP 10 6","6","OP_6a","202001_OP_6a",1.89,"25/3/20",Jan 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Orote Point",2020-01-29,"OP 10 7","7","OP_7a","202001_OP_7a",1.12,"25/3/20",Jan 2020,9,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Orote Point",2020-01-29,"OP 10 8","8","OP_8a","202001_OP_8a",1.63,"25/3/20",Jan 2020,4,13.4497667,144.6245833,62,80.8,"Slow","High","MM, MD, JP"
"Orote Point",2020-01-29,"OP 10 9","9","OP_9a","202001_OP_9a",1.07,"25/3/20",Jan 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Orote Point",2020-01-29,"OP 10 10","10","OP_10a","202001_OP_10a",2.2,"25/3/20",Jan 2020,4,13.4497833,144.62465,87,80.7,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-02-24,"SB NA EB","EB","SB_EBa","202002_SB_EBa",0.02,"26/3/20",Feb 2020,NA,NA,NA,NA,NA,"","",""
"Sasa Bay",2020-02-24,"SB 10 EC","EC","SB_ECa","202002_SB_ECa",0.02,"26/3/20",Feb 2020,0,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-02-24,"SB 10 1","1","SB_1a","202002_SB_1a",3.87,"26/3/20",Feb 2020,4,13.4492333,144.6741,36.8,79,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-02-24,"SB 10 2","2","SB_2a","202002_SB_2a",5.34,"26/3/20",Feb 2020,5,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-02-24,"SB 10 3","3","SB_3a","202002_SB_3a",8.99,"26/3/20",Feb 2020,4,13.4496,144.67395,39,79,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-02-24,"SB 10 4","4","SB_4a","202002_SB_4a",7.26,"26/3/20",Feb 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-02-24,"SB 10 5","5","SB_5a","202002_SB_5a",8.09,"26/3/20",Feb 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-02-24,"SB 10 6","6","SB_6a","202002_SB_6a",4.15,"26/3/20",Feb 2020,7,13.4493833,144.6739575,38,79,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-02-24,"SB 10 7","7","SB_7a","202002_SB_7a",11.07,"26/3/20",Feb 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-02-24,"SB 10 8","8","SB_8a","202002_SB_8a",5.66,"26/3/20",Feb 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-02-24,"SB 10 9","9","SB_9a","202002_SB_9a",6.88,"26/3/20",Feb 2020,4,13.4488,144.6741833,34,79,"Slow","High","MM, MD, JP"
"Sasa Bay",2020-02-24,"SB 10 10","10","SB_10a","202002_SB_10a",9.01,"26/3/20",Feb 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-02-24,"MS NA EB","EB","MS_EBa","202002_MS_EBa",0.01,"26/3/20",Feb 2020,NA,NA,NA,NA,NA,"","",""
"Middle Shoals",2020-02-24,"MS 10 EC","EC","MS_ECa","202002_MS_ECa",0.03,"26/3/20",Feb 2020,0,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-02-24,"MS 10 1","1","MS_1a","202002_MS_1a",3.04,"26/3/20",Feb 2020,4,13.4487,144.6569333,98,80,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-02-24,"MS 10 2","2","MS_2a","202002_MS_2a",6.53,"26/3/20",Feb 2020,5,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-02-24,"MS 10 3","3","MS_3a","202002_MS_3a",4.79,"26/3/20",Feb 2020,13,13.4487667,144.6568166,100,80,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-02-24,"MS 10 4","4","MS_4a","202002_MS_4a",9.29,"26/3/20",Feb 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-02-24,"MS 10 5","5","MS_5a","202002_MS_5a",5.59,"26/3/20",Feb 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-02-24,"MS 10 6","6","MS_6a","202002_MS_6a",3.86,"26/3/20",Feb 2020,4,13.4488333,144.6568666,98,80,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-02-24,"MS 10 7","7","MS_7a","202002_MS_7a",5.4,"26/3/20",Feb 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-02-24,"MS 10 8","8","MS_8a","202002_MS_8a",3.4,"26/3/20",Feb 2020,9,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-02-24,"MS 10 9","9","MS_9a","202002_MS_9a",5.21,"26/3/20",Feb 2020,5,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Middle Shoals",2020-02-24,"MS 10 10","10","MS_10a","202002_MS_10a",3.83,"26/3/20",Feb 2020,5,13.4488667,144.6569333,97,80,"Slow","High","MM, MD, JP"
"Inner Harbor",2020-02-24,"IH NA EB","EB","IH_EBa","202002_IH_EBa",0.03,"26/3/20",Feb 2020,NA,NA,NA,NA,NA,"","",""
"Inner Harbor",2020-02-24,"IH 10 EC","EC","IH_ECa","202002_IH_ECa",0.02,"26/3/20",Feb 2020,1,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-02-24,"IH 10 1","1","IH_1a","202002_IH_1a",6.45,"26/3/20",Feb 2020,4,13.43185,144.674333,33,79.2,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-02-24,"IH 10 2","2","IH_2a","202002_IH_2a",7.57,"26/3/20",Feb 2020,5,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-02-24,"IH 10 3","3","IH_3a","202002_IH_3a",11.55,"26/3/20",Feb 2020,5,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-02-24,"IH 10 4","4","IH_4a","202002_IH_4a",16.37,"26/3/20",Feb 2020,19,13.4301667,144.6738167,31,79,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-02-24,"IH 10 5","5","IH_5a","202002_IH_5a",8.4,"26/3/20",Feb 2020,4,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-02-24,"IH 10 6","6","IH_6a","202002_IH_6a",9.13,"26/3/20",Feb 2020,5,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-02-24,"IH 10 7","7","IH_7a","202002_IH_7a",8.65,"26/3/20",Feb 2020,4,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-02-24,"IH 10 8","8","IH_8a","202002_IH_8a",11.29,"26/3/20",Feb 2020,4,13.4314833,144.6736166,31,79,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-02-24,"IH 10 9","9","IH_9a","202002_IH_9a",13.07,"26/3/20",Feb 2020,4,NA,NA,NA,NA,"Stagnant","High","MM, MD, JP"
"Inner Harbor",2020-02-24,"IH 10 10","10","IH_10a","202002_IH_10a",6.94,"26/3/20",Feb 2020,3,13.4308,144.674,31.5,79,"Stagnant","High","MM, MD, JP"
"Blue Hole",2020-02-24,"BH NA EB","EB","BH_EBa","202002_BH_EBa",0.02,"26/3/20",Feb 2020,NA,NA,NA,NA,NA,"","",""
"Blue Hole",2020-02-24,"BH 10 EC","EC","BH_ECa","202002_BH_ECa",0.02,"26/3/20",Feb 2020,0,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Blue Hole",2020-02-24,"BH 10 1","1","BH_1a","202002_BH_1a",1.03,"26/3/20",Feb 2020,4,13.4347,144.62705,434,80,"Slow","High","MM, MD, JP"
"Blue Hole",2020-02-24,"BH 10 2","2","BH_2a","202002_BH_2a",0.85,"26/3/20",Feb 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Blue Hole",2020-02-24,"BH 10 3","3","BH_3a","202002_BH_3a",0.31,"26/3/20",Feb 2020,6,13.4349833,144.626,478,80,"Slow","High","MM, MD, JP"
"Blue Hole",2020-02-24,"BH 10 4","4","BH_4a","202002_BH_4a",0.86,"26/3/20",Feb 2020,5,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Blue Hole",2020-02-24,"BH 10 5","5","BH_5a","202002_BH_5a",1.18,"26/3/20",Feb 2020,5,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Blue Hole",2020-02-24,"BH 10 6","6","BH_6a","202002_BH_6a",0.75,"26/3/20",Feb 2020,5,13.434983,144.62595,500,80,"Slow","High","MM, MD, JP"
"Blue Hole",2020-02-24,"BH 10 7","7","BH_7a","202002_BH_7a",0.89,"26/3/20",Feb 2020,5,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Blue Hole",2020-02-24,"BH 10 8","8","BH_8a","202002_BH_8a",0.8,"26/3/20",Feb 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Blue Hole",2020-02-24,"BH 10 9","9","BH_9a","202002_BH_9a",1.15,"26/3/20",Feb 2020,7,13.4356833,144.625,439,80,"Slow","High","MM, MD, JP"
"Blue Hole",2020-02-24,"BH 10 10","10","BH_10a","202002_BH_10a",1.27,"26/3/20",Feb 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Orote Point",2020-02-24,"OP NA EB","EB","OP_EBa","202002_OP_EBa",0.04,"26/3/20",Feb 2020,NA,NA,NA,NA,NA,"","",""
"Orote Point",2020-02-24,"OP 10 EC","EC","OP_ECa","202002_OP_ECa",0.03,"26/3/20",Feb 2020,0,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Orote Point",2020-02-24,"OP 10 1","1","OP_1a","202002_OP_1a",1.85,"26/3/20",Feb 2020,4,13.4492833,144.6278167,157,80,"Slow","High","MM, MD, JP"
"Orote Point",2020-02-24,"OP 10 2","2","OP_2a","202002_OP_2a",1.49,"26/3/20",Feb 2020,4,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
"Orote Point",2020-02-24,"OP 10 3","3","OP_3a","202002_OP_3a",2,"26/3/20",Feb 2020,6,13.44915,144.6268,161,80,"Slow","High","MM, MD, JP"
"Orote Point",2020-02-24,"OP 10 4","4","OP_4a","202002_OP_4a",1.62,"26/3/20",Feb 2020,5,NA,NA,NA,NA,"Slow","High","MM, MD, JP"
